EmployeeID,Age,Attrition,BusinessTravel,Department,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
1000,36,Yes,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,1,Divorced,5435,No,2,1,0,0
1001,53,No,Travel_Rarely,Sales,Medical,Female,Manager,4,Single,21937,No,5,3,3,0
1002,41,No,Travel_Frequently,Sales,Human Resources,Female,Sales Executive,4,Divorced,8442,No,18,1,5,3
1003,21,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,4,Divorced,7993,No,2,3,2,2
1004,60,No,Travel_Rarely,Sales,Life Sciences,Male,Manager,2,Single,16093,No,0,3,0,0
1005,36,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,4,Divorced,8149,Yes,0,2,0,0
1006,44,No,Travel_Frequently,Research & Development,Technical Degree,Male,Research Director,2,Married,18654,No,4,2,4,0
1007,52,Yes,Travel_Frequently,Research & Development,Technical Degree,Male,Healthcare Representative,3,Married,8615,Yes,2,3,2,2
1008,35,No,Travel_Frequently,Sales,Medical,Male,Manager,2,Divorced,19533,No,16,2,8,1
1009,26,No,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,1,Single,5842,Yes,7,1,7,3
1010,29,No,Travel_Rarely,Research & Development,Human Resources,Female,Research Director,2,Married,16338,No,3,3,3,1
1011,26,Yes,Non-Travel,Research & Development,Life Sciences,Female,Healthcare Representative,1,Single,7724,No,2,2,0,0
1012,50,Yes,Travel_Rarely,Research & Development,Human Resources,Female,Manufacturing Director,4,Married,7664,No,2,2,0,0
1013,22,No,Travel_Frequently,Research & Development,Technical Degree,Male,Healthcare Representative,2,Married,8102,No,3,2,3,0
1014,34,No,Travel_Rarely,Sales,Medical,Male,Sales Representative,1,Married,2988,Yes,15,1,0,0
1015,44,No,Travel_Rarely,Research & Development,Human Resources,Female,Laboratory Technician,3,Single,3267,No,23,4,1,0
1016,22,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,2,Single,6248,No,3,1,3,2
1017,34,No,Non-Travel,Research & Development,Human Resources,Female,Manager,3,Single,21273,Yes,5,3,5,1
1018,60,No,Travel_Frequently,Sales,Other,Female,Sales Executive,1,Single,6088,No,3,1,2,2
1019,34,No,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,1,Married,5559,No,4,3,1,1
1020,54,No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,4,Divorced,6525,No,1,3,1,0
1021,21,Yes,Travel_Rarely,Research & Development,Human Resources,Male,Manufacturing Director,4,Divorced,6874,No,0,1,0,0
1022,56,Yes,Travel_Frequently,Sales,Medical,Male,Sales Representative,1,Married,2808,No,8,3,3,0
1023,58,No,Travel_Rarely,Research & Development,Marketing,Female,Healthcare Representative,4,Divorced,9764,No,13,1,13,0
1024,36,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,4,Single,2860,No,1,3,1,0
1025,40,Yes,Travel_Rarely,Research & Development,Marketing,Male,Healthcare Representative,3,Divorced,7199,No,3,1,0,0
1026,21,No,Travel_Rarely,Human Resources,Human Resources,Female,Manager,4,Single,17086,No,1,2,1,1
1027,31,No,Travel_Frequently,Research & Development,Marketing,Female,Research Director,3,Divorced,15449,No,4,3,0,0
1028,31,No,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,1,Married,8905,No,5,3,5,2
1029,32,No,Travel_Rarely,Research & Development,Medical,Female,Manager,3,Single,23717,No,7,1,7,6
1030,20,No,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,2,Divorced,3580,No,0,4,0,0
1031,46,No,Travel_Frequently,Research & Development,Technical Degree,Female,Research Scientist,1,Married,5309,No,2,4,2,2
1032,51,No,Travel_Rarely,Research & Development,Other,Female,Manager,2,Divorced,18304,No,5,3,5,1
1033,23,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,4,Married,3128,Yes,4,2,1,0
1034,45,Yes,Non-Travel,Research & Development,Marketing,Female,Healthcare Representative,4,Married,8283,No,0,4,0,0
1035,53,No,Travel_Rarely,Research & Development,Human Resources,Female,Healthcare Representative,1,Divorced,7821,Yes,13,4,4,1
1036,27,No,Non-Travel,Sales,Medical,Male,Sales Representative,4,Married,3133,No,8,2,4,4
1037,48,Yes,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,1,Married,3936,No,3,4,3,0
1038,60,No,Travel_Rarely,Sales,Medical,Female,Sales Executive,4,Divorced,7434,No,0,1,0,0
1039,29,No,Travel_Rarely,Sales,Technical Degree,Female,Sales Representative,1,Divorced,3836,Yes,9,3,9,2
1040,59,No,Travel_Rarely,Sales,Human Resources,Female,Manager,1,Single,20050,No,2,3,2,0
1041,19,Yes,Travel_Frequently,Research & Development,Other,Female,Manufacturing Director,2,Divorced,8659,No,0,4,0,0
1042,49,No,Travel_Frequently,Research & Development,Technical Degree,Female,Research Director,3,Married,18639,Yes,6,4,6,1
1043,30,Yes,Travel_Frequently,Sales,Human Resources,Female,Sales Representative,1,Married,2637,No,6,2,2,0
1044,49,No,Travel_Rarely,Research & Development,Other,Female,Laboratory Technician,3,Married,3219,Yes,10,3,4,3
1045,41,Yes,Travel_Rarely,Human Resources,Technical Degree,Female,Manager,2,Divorced,15883,Yes,12,2,1,0
1046,57,Yes,Non-Travel,Research & Development,Life Sciences,Female,Research Director,2,Divorced,14873,Yes,3,3,0,0
1047,25,No,Non-Travel,Human Resources,Technical Degree,Female,Manager,4,Single,20294,Yes,6,1,5,1
1048,22,No,Travel_Rarely,Research & Development,Technical Degree,Female,Manager,4,Married,15662,Yes,1,2,1,1
1049,46,No,Travel_Rarely,Sales,Medical,Male,Manager,2,Single,21078,No,3,3,3,1
1050,19,No,Travel_Rarely,Research & Development,Marketing,Male,Laboratory Technician,4,Married,2756,No,0,1,0,0
1051,60,Yes,Travel_Rarely,Sales,Human Resources,Female,Sales Executive,3,Divorced,5858,No,1,4,1,0
1052,51,No,Travel_Rarely,Research & Development,Human Resources,Male,Manufacturing Director,1,Divorced,9367,No,7,1,3,1
1053,21,No,Travel_Frequently,Research & Development,Technical Degree,Female,Research Director,4,Married,16639,Yes,2,4,1,1
1054,25,Yes,Travel_Frequently,Research & Development,Marketing,Female,Manager,1,Single,17499,No,6,4,2,2
1055,51,No,Travel_Rarely,Human Resources,Medical,Female,Manager,4,Divorced,17401,Yes,17,4,0,0
1056,47,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,3,Single,3075,No,21,1,3,0
1057,60,No,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,4,Single,5742,Yes,17,2,4,2
1058,27,No,Travel_Rarely,Research & Development,Other,Female,Research Director,1,Single,16481,No,8,3,1,1
1059,41,No,Travel_Frequently,Research & Development,Technical Degree,Male,Healthcare Representative,2,Married,9924,No,4,4,4,0
1060,43,No,Non-Travel,Research & Development,Technical Degree,Male,Manager,3,Divorced,23397,No,4,1,4,3
